,address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,restaurant_name,review_score,review_scores
0,King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"International, Vegan Options, Vegetarian Friendly",International,"King Saud Road, Al Khobar 31952 Saudi Arabia",101,+ Add hours,1 of 29 International in Al Khobar,Kempinski Al Othman Hotel,5.0 ,5.0
1,Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia,Eastern_Province,"Seafood, International, Mediterranean",Seafood,"Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia",916,Closed Now:See all hours,1 of 20 Seafood in Al Khobar,Al-Sanbok Seafood Restaurant,4.5 ,4.5
2,Prince Musaid Street, 34425 Al Khobar,Eastern_Province,"Japanese, Sushi, Asian",Asian,"Prince Musaid Street, 34425 Al Khobar, Al Khobar Saudi Arabia",59,+ Add hours,1 of 11 Japanese in Al Khobar,Taki Restaurant,5.0 ,5.0
3,King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Pizza, Romana",Italian,"King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia",56,Closed Now:See all hours,1 of 31 Italian in Al Khobar,il Vero,5.0 ,5.0
4,Fouad Center _ Corniche Street, Al Khobar Saudi Arabia,Eastern_Province,"American, Steakhouse, Vegetarian Friendly",American,"Fouad Center _ Corniche Street, Al Khobar Saudi Arabia",331,+ Add hours,1 of 40 American in Al Khobar,Outback Steakhouse,4.0 ,4.0
5,Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3,Eastern_Province,"Brazilian, Barbecue, Grill",American,"Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3, Lot No.15, Al Jubail 35814 Saudi Arabia",116,Closed Now:See all hours,1 of 1 Brazilian in Al Jubail,Brasa De Brazil,4.5 ,4.5
6,Prince Turkey Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Pizza, European",Italian,"Prince Turkey Road, Al Khobar 31952 Saudi Arabia",355,Closed Now:See all hours,2 of 31 Italian in Al Khobar,Piatto Restaurant - Al Khobar,4.0 ,4.0
7,2/F Le Meridien Al Khobar, Corniche Road,Eastern_Province,"Japanese, Sushi, Asian",Asian,"2/F Le Meridien Al Khobar, Corniche Road, Al Khobar 31952 Saudi Arabia",119,Closed Now:See all hours,2 of 11 Japanese in Al Khobar,Fusion Seafood & Sushi,4.5 ,4.5
8,King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Seafood, Mediterranean, European",Seafood,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",194,Closed Now:See all hours,3 of 20 Seafood in Al Khobar,Primavera Restaurant,4.5 ,4.5
9,Jubail Corniche, Al Jubail 11373 Saudi Arabia,Eastern_Province,"American, Steakhouse, Vegetarian Friendly",American,"Jubail Corniche, Al Jubail 11373 Saudi Arabia",222,Closed Now:See all hours,1 of 6 American in Al Jubail,Steak House,4.0 ,4.0
10,Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Pizza, Mediterranean",Italian,"Prince Musaed Street Cross 10, Al Khobar 31952 Saudi Arabia",300,Closed Now:See all hours,3 of 31 Italian in Al Khobar,La Gondola Restaurant,4.0 ,4.0
11,Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia,Eastern_Province,"Seafood, International, Halal",Seafood,"Faisal Al Saud Street, Al Khobar 34422 Saudi Arabia",107,+ Add hours,4 of 20 Seafood in Al Khobar,The Blue Restaurant,4.5 ,4.5
12,101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia,Eastern_Province,"Middle Eastern, International, Vegetarian Friendly",Arabic,"101 Street Al Sanaiyah, Al Jubail 31961 Saudi Arabia",116,+ Add hours,1 of 3 International in Al Jubail,Al Tuwayah Buffet Restaurant,4.5 ,4.5
13,King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Moroccan, Mediterranean, Middle Eastern",Arabic,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",153,Closed Now:See all hours,1 of 1 Moroccan in Al Khobar,Marrakesh Restaurant,4.5 ,4.5
14,Prince Turkey Street, Al Khobar Saudi Arabia,Eastern_Province,"Steakhouse, Barbecue, Halal",BBQ,"Prince Turkey Street, Al Khobar Saudi Arabia",93,+ Add hours,3 of 10 Steakhouse in Al Khobar,The Butcher Shop and Grill,4.5 ,4.5
15,On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia,Eastern_Province,"Lebanese, Mediterranean, Middle Eastern",Arabic,"On the same side as the Tammimi Safeway Supermarkets down on the Corniche, Dammam Saudi Arabia",192,+ Add hours,1 of 9 Lebanese in Dammam,Abu Nawas,4.0 ,4.0
16,Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia,Eastern_Province,"International, Mediterranean, Middle Eastern",International,"Al Malik Khalid Street Al Ahsa Intercontinetal, Al Ahsa 31982 Saudi Arabia",38,+ Add hours,1 of 4 International in Al Ahsa,The Med,5.0 ,5.0
17,Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia,Eastern_Province,"Seafood, Sushi, Asian",Seafood,"Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia",280,+ Add hours,5 of 20 Seafood in Al Khobar,Soul Kitchen,4.0 ,4.0
18,Adanah Road,Adanah Road,Eastern_Province,"Steakhouse, American, Vegetarian Friendly",BBQ,"Adanah Road,, Al Jubail Saudi Arabia",77,Closes in 14 min:11:00 AM - 1:00 AM,2 of 6 American in Al Jubail,Outback Steakhouse Jubail,4.5 ,4.5
19,14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia,Eastern_Province,"Pakistani, Indian, Asian",Asian,"14th Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia",315,Closed Now:See all hours,1 of 31 Indian in Al Khobar,Talwar - Indian Restaurant,4.5 ,4.5
20,Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah,Eastern_Province,"Mexican, International, Vegetarian Friendly",American,"Intercontinental Hotel, Al Jubail 101 St Al- Sinaiyah, Al Jubail 31961 Saudi Arabia",147,+ Add hours,1 of 2 Mexican in Al Jubail,The Ranch Restaurant,4.5 ,4.5
21,Corniche Street, Dammam,Eastern_Province,"Middle Eastern, Halal, Vegetarian Friendly",Arabic,"Corniche Street, Dammam, Dammam Saudi Arabia",130,+ Add hours,2 of 19 Middle Eastern in Dammam,Heritage Village,4.0 ,4.0
22,King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia,Eastern_Province,"French, Cafe, European",Bakery,"King Fahd Rd Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia",149,Closed Now:See all hours,1 of 10 French in Al Khobar,Madeleine French Bakery & Brasserie,4.0 ,4.0
23,Sofitel, Al Khobar Saudi Arabia,Eastern_Province,Cafe,Cafe,"Sofitel, Al Khobar Saudi Arabia",69,+ Add hours,6 of 29 International in Al Khobar,Cafe Chic Sofitel Al Khobar,4.5 ,4.5
24,Khobar Waterfront, Prince Turki Corniche Rd Al Khobar,Eastern_Province,"French, Cafe, European",European,"Khobar Waterfront, Prince Turki Corniche Rd Al Khobar, Ash Sharqiyah, Dhahran 34427 Saudi Arabia",96,Closed Now:See all hours,1 of 1 French in Dhahran,Pattis France,4.5 ,4.5
25,Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia,Eastern_Province,"Lebanese, Fast Food, Mediterranean",Arabic,"Prince Faisal Bin Fahad Road Khobar North Al Khobar, Dammam 34426 Saudi Arabia",107,+ Add hours,2 of 9 Lebanese in Dammam,Manoosha Alreef,4.0 ,4.0
26,Al Corniche, Al Khobar Saudi Arabia,Eastern_Province,"Japanese, Seafood, Sushi",Asian,"Al Corniche, Al Khobar Saudi Arabia",155,Closed Now:See all hours,3 of 11 Japanese in Al Khobar,Fushi,4.0 ,4.0
27,King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia,Eastern_Province,"Lebanese, Middle Eastern, Mediterranean",Arabic,"King Khaled Street Intercontinental Hotel, Al Ahsa Saudi Arabia",50,+ Add hours,1 of 3 Lebanese in Al Ahsa,Al Bustan,4.5 ,4.5
28,Corniche Road Fanateer, Al Jubail Saudi Arabia,Eastern_Province,"American, Vegetarian Friendly",American,"Corniche Road Fanateer, Al Jubail Saudi Arabia",103,+ Add hours,3 of 6 American in Al Jubail,Fuddruckers,4.0 ,4.0
29,Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Mediterranean, European",Italian,"Le Meridien Al Khobar, Al Khobar 31952 Saudi Arabia",44,+ Add hours,4 of 31 Italian in Al Khobar,Leonardo Restaurant,5.0 ,5.0
30,Corniche Road, Dammam Saudi Arabia,Eastern_Province,"Brazilian, Barbecue, Halal",American,"Corniche Road, Dammam Saudi Arabia",88,+ Add hours,1 of 1 Brazilian in Dammam,Brasa de Brasil Churrascaria,4.0 ,4.0
31,King Faisal Road Ground Floor, Khobar Pavilion Mall,Eastern_Province,"American, International, European",American,"King Faisal Road Ground Floor, Khobar Pavilion Mall, Al Khobar Saudi Arabia",21,Closed Now:See all hours,3 of 40 American in Al Khobar,The Breakfast Club,5.0 ,5.0
32,Al Yarmuk St, Al Khobar Saudi Arabia,Eastern_Province,"Middle Eastern, Halal",Arabic,"Al Yarmuk St, Al Khobar Saudi Arabia",143,Closed Now:See all hours,4 of 50 Middle Eastern in Al Khobar,Restaurant Khobar Traditional Village,4.0 ,4.0
33,Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Fast Food, Deli, Grill",Fast Food,"Ibn Bassam Al Andalusi, Al Khobar 31952 Saudi Arabia",91,+ Add hours,1 of 27 Fast Food in Al Khobar,Quick Bites,4.5 ,4.5
34,Prince Homoud St. Cross 22, Al Khobar Saudi Arabia,Eastern_Province,"Italian, Pizza, Fast Food",Italian,"Prince Homoud St. Cross 22, Al Khobar Saudi Arabia",142,Closed Now:See all hours,5 of 31 Italian in Al Khobar,Pizzarific,4.5 ,4.5
35,Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia,Eastern_Province,"Chinese, Asian, Thai",Asian,"Mall of Dhahran Blvd Dhahran Mall, Al Khobar Saudi Arabia",113,+ Add hours,1 of 18 Chinese in Al Khobar,Bamboo Kitchen,4.0 ,4.0
36,Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia,Eastern_Province,"Chinese, Indian, Seafood",Asian,"Al Shati 3rd St Al Danah Rd, Al Jubail Saudi Arabia",36,Closed Now:See all hours,1 of 8 Chinese in Al Jubail,Taya Restaurant,5.0 ,5.0
37,Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia,Eastern_Province,"Lebanese, Mediterranean, Middle Eastern",Arabic,"Prince Mohammed Bin Fahd Street Yaqoot Intersection, Dammam Saudi Arabia",163,Closed Now:See all hours,3 of 9 Lebanese in Dammam,Beit Misk,4.0 ,4.0
38,First Street, Dammam 5397 Saudi Arabia,Eastern_Province,"Lebanese, Middle Eastern, Mediterranean",Arabic,"First Street, Dammam 5397 Saudi Arabia",57,+ Add hours,4 of 9 Lebanese in Dammam,Fayrouz Lebanese Restaurant,4.0 ,4.0
39,Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free.,Eastern_Province,"Steakhouse, Brazilian, Barbecue",BBQ,"Al-Dhugaither leisure Island Corniche Al-Khober Open Buffet Per Head SR 160 for adults , SR 80 for Kids above 10 years kids under 5 are Free., Al Khobar Saudi Arabia",139,Closes in 14 min:12:00 PM - 1:00 AM,4 of 10 Steakhouse in Al Khobar,Brasa de Brazil,4.0 ,4.0
40,Dammam Saudi Arabia,Dammam Saudi Arabia,Eastern_Province,"Lebanese, Fast Food, Mediterranean",Arabic,Dammam Saudi Arabia,25,+ Add hours,5 of 9 Lebanese in Dammam,Hamra Chicken,5.0 ,5.0
41,1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Chinese, Indian, Fusion",Asian,"1st Street King Fahad Street, Al Khobar 31952 Saudi Arabia",73,Closed Now:See all hours,2 of 18 Chinese in Al Khobar,Classic Restaurant,4.0 ,4.0
42,Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Fast Food, American, Halal",Fast Food,"Prince Turky Road Fouad Centre, Al Khobar 31952 Saudi Arabia",178,Closes in 14 min:See all hours,4 of 40 American in Al Khobar,BurgerFuel Fouad Center,4.0 ,4.0
43,Fanateer, City Center AlKhamis RD,Eastern_Province,"Middle Eastern, Lebanese, Vegetarian Friendly",Arabic,"Fanateer, City Center AlKhamis RD, 35811, Al Jubail Saudi Arabia",68,Closes in 14 min:See all hours,1 of 5 Lebanese in Al Jubail,Grillo,4.0 ,4.0
44,Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia,Eastern_Province,American,American,"Huwalyat Center Al Huwaylat District, Al Jubail Saudi Arabia",107,+ Add hours,4 of 6 American in Al Jubail,Applebee's,3.5 ,3.5
45,King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"International, Barbecue, Grill",International,"King Saud Road, Al Khobar 31952 Saudi Arabia",29,Closed Now:See all hours,8 of 29 International in Al Khobar,Al Diwan,4.5 ,4.5
46,Prince Turkey St, Cornishe,Eastern_Province,Cafe,Cafe,"Prince Turkey St, Cornishe, Al Khobar 31952 Saudi Arabia",62,+ Add hours,6 of 50 Middle Eastern in Al Khobar,Le Cafe De Paris Le Meridien Alkhobar,4.0 ,4.0
47,Near Jubail City Center, Al Jubail Saudi Arabia,Eastern_Province,"Indian, Asian, Vegetarian Friendly",Indian,"Near Jubail City Center, Al Jubail Saudi Arabia",73,+ Add hours,2 of 14 Indian in Al Jubail,CookXone,4.0 ,4.0
48,Rezayat Village Compound, Al Khobar Saudi Arabia,Eastern_Province,"International, British",International,"Rezayat Village Compound, Al Khobar Saudi Arabia",54,+ Add hours,9 of 29 International in Al Khobar,Blue Strawberry Restaurant,4.0 ,4.0
49,Al Khobar Saudi Arabia,Al Khobar Saudi Arabia,Eastern_Province,"American, Southwestern",American,Al Khobar Saudi Arabia,131,+ Add hours,5 of 40 American in Al Khobar,Chili's,4.0 ,4.0
50,Corniche Rd,Corniche Rd,Eastern_Province,"Lebanese, Mediterranean, Middle Eastern",Arabic,"Corniche Rd,, Al Khobar Saudi Arabia",46,+ Add hours,1 of 13 Lebanese in Al Khobar,Fayrouz Garden,4.0 ,4.0
51,Prince Mohammed Bin Fahd Rd, Dammam Saudi Arabia,Eastern_Province,"Lebanese, Mediterranean, Barbecue",Arabic,"Prince Mohammed Bin Fahd Rd, Dammam Saudi Arabia",87,Closed Now:See all hours,6 of 9 Lebanese in Dammam,Al Shahrour,4.0 ,4.0
52,King Faisal Street Al Khobar Business Gates, Al Khobar Saudi Arabia,Eastern_Province,"Japanese, Sushi, Asian",Asian,"King Faisal Street Al Khobar Business Gates, Al Khobar Saudi Arabia",61,Closed Now:See all hours,4 of 11 Japanese in Al Khobar,Sushi Yoshi,4.0 ,4.0
53,Prince Naif Rd, Al Hofuf 36362,Eastern_Province,"Seafood, Chinese, Japanese",Seafood,"Prince Naif Rd, Al Hofuf 36362, Al Ahsa Saudi Arabia",24,Closed Now:See all hours,1 of 3 Chinese in Al Ahsa,AlKeet Restaurant,4.5 ,4.5
54,Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia,Eastern_Province,American,American,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",61,+ Add hours,8 of 40 American in Al Khobar,Parker's,4.0 ,4.0
55,King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"International, Sushi, Cafe",International,"King Saud Road, Al Khobar 31952 Saudi Arabia",16,Closes in 13 min:10:00 AM - 1:00 AM,2 of 47 Cafe in Al Khobar,Sky Lounge,5.0 ,5.0
56,9th Street, Prince Musaid Street 25th St,Eastern_Province,"Chinese, Asian, Pakistani",Asian,"9th Street, Prince Musaid Street 25th St, Prince Saad Rd, Al Khobar 31952 Saudi Arabia",110,Closed Now:See all hours,3 of 18 Chinese in Al Khobar,Mughal,4.0 ,4.0
57,Intercontinental hotel, Al Ahsa Saudi Arabia,Eastern_Province,"Indian, Chinese, Asian",Indian,"Intercontinental hotel, Al Ahsa Saudi Arabia",24,+ Add hours,2 of 3 Chinese in Al Ahsa,Silk road,4.5 ,4.5
58,27th street intersection with Prince Saad Street, Al Khobar Saudi Arabia,Eastern_Province,"Italian, European, Vegetarian Friendly",Italian,"27th street intersection with Prince Saad Street, Al Khobar Saudi Arabia",54,+ Add hours,6 of 31 Italian in Al Khobar,Oliveto,4.5 ,4.5
59,The Galleria Mall 2nd Floor Fanatir, Al Jubail 35811 Saudi Arabia,Eastern_Province,"Italian, European, Pizza",Italian,"The Galleria Mall 2nd Floor Fanatir, Al Jubail 35811 Saudi Arabia",39,Closed Now:See all hours,1 of 5 Italian in Al Jubail,Piatto Restaurant - Galleria Mall,4.0 ,4.0
60,Prince Mansour Street, Al Khobar 34425 Saudi Arabia,Eastern_Province,"Barbecue, Middle Eastern, Halal",BBQ,"Prince Mansour Street, Al Khobar 34425 Saudi Arabia",31,+ Add hours,5 of 21 Barbecue in Al Khobar,Alennabi Grill,4.5 ,4.5
61,Prince Faisal Bin Fahd Road Pepsi Road, Al Khobar Saudi Arabia,Eastern_Province,"Mexican, American, Southwestern",American,"Prince Faisal Bin Fahd Road Pepsi Road, Al Khobar Saudi Arabia",39,Closed Now:See all hours,1 of 6 Mexican in Al Khobar,Burrito Loco,4.5 ,4.5
62,King Abdullah Bin Abdulaziz Road, Dammam Saudi Arabia,Eastern_Province,"Chinese, Indian, Asian",Asian,"King Abdullah Bin Abdulaziz Road, Dammam Saudi Arabia",44,+ Add hours,11 of 103 Restaurants in Dammam,Oceana,4.0 ,4.0
63,Al Khobar Saudi Arabia,Al Khobar Saudi Arabia,Eastern_Province,"Cafe, European, Vegetarian Friendly",Cafe,Al Khobar Saudi Arabia,29,+ Add hours,4 of 47 Cafe in Al Khobar,Circle,4.0 ,4.0
64,Dhahran Mall, Dammam Saudi Arabia,Eastern_Province,"Steakhouse, Australian, Vegetarian Friendly",BBQ,"Dhahran Mall, Dammam Saudi Arabia",48,+ Add hours,2 of 2 Steakhouse in Dammam,Outback,4.0 ,4.0
65,Al Khobar - South Al Khobar Corniche - Corniche Towers., Al Khobar 34611 Saudi Arabia,Eastern_Province,"Chinese, Asian, International",Asian,"Al Khobar - South Al Khobar Corniche - Corniche Towers., Al Khobar 34611 Saudi Arabia",35,Closed Now:See all hours,4 of 18 Chinese in Al Khobar,Chinese Tandouri Restaurant,4.5 ,4.5
66,3946 King Salman Ibn Abdul Aziz Road, Al Khobar 344236094 Saudi Arabia,Eastern_Province,Cafe,Cafe,"3946 King Salman Ibn Abdul Aziz Road, Al Khobar 344236094 Saudi Arabia",40,Closed Now:See all hours,5 of 47 Cafe in Al Khobar,Cafe Bateel,4.0 ,4.0
67,Al Rashid Mall, Al Khobar Saudi Arabia,Eastern_Province,"Chinese, Asian, Vegetarian Friendly",Asian,"Al Rashid Mall, Al Khobar Saudi Arabia",103,+ Add hours,5 of 18 Chinese in Al Khobar,Gulf Royal Chinese Restaurant,4.0 ,4.0
68,King Khaled Street 1411, Dammam 31431 Saudi Arabia,Eastern_Province,"Chinese, Asian, Vegetarian Friendly",Asian,"King Khaled Street 1411, Dammam 31431 Saudi Arabia",42,Closed Now:See all hours,2 of 8 Chinese in Dammam,Red Dragon,4.5 ,4.5
69,Dhahran Mall, Al Khobar Saudi Arabia,Eastern_Province,"Cafe, Vegetarian Friendly",Cafe,"Dhahran Mall, Al Khobar Saudi Arabia",56,+ Add hours,6 of 47 Cafe in Al Khobar,Dip n Dip,4.0 ,4.0
70,King Salman Bin Abdulaziz Road, Al Khobar Saudi Arabia,Eastern_Province,"Middle Eastern, Armenian, Eastern European",Arabic,"King Salman Bin Abdulaziz Road, Al Khobar Saudi Arabia",27,Closed Now:See all hours,9 of 50 Middle Eastern in Al Khobar,Lusin,4.0 ,4.0
71,Riyadh Road Next to Krispy Kreme, Al Hofuf,Eastern_Province,"Italian, Pizza",Italian,"Riyadh Road Next to Krispy Kreme, Al Hofuf, Al Ahsa 36421 Saudi Arabia",31,+ Add hours,1 of 5 Italian in Al Hofuf,Maestro Pizza,4.5 ,4.5
72,Al Malik Khalid Street InterContinental Al Ahsa, Al Ahsa 31982 Saudi Arabia,Eastern_Province,Cafe,Cafe,"Al Malik Khalid Street InterContinental Al Ahsa, Al Ahsa 31982 Saudi Arabia",19,Closed Now:See all hours,1 of 3 Cafe in Al Ahsa,Al Maha Lounge,4.5 ,4.5
73,Al Bandariyah,Al Bandariyah,Eastern_Province,"Steakhouse, Barbecue",BBQ,"Al Bandariyah,, Al Khobar Saudi Arabia",35,Closed Now:See all hours,5 of 10 Steakhouse in Al Khobar,Lucca Steak House,4.0 ,4.0
74,Prince Turki Street Coordinates 26.28929, 50.22102,Eastern_Province,American,American,"Prince Turki Street Coordinates 26.28929, 50.22102, Al Khobar 34414 Saudi Arabia",72,+ Add hours,10 of 40 American in Al Khobar,Friday's,4.0 ,4.0
75,7th Street, Al Khobar Saudi Arabia,Eastern_Province,Shawarma,Arabic,"7th Street, Al Khobar Saudi Arabia",16,+ Add hours,2 of 21 Arabic in Al Khobar,Shawerma Helil,4.5 ,4.5
76,Prince Humud Street, Al Khobar Saudi Arabia,Eastern_Province,"Cafe, Vegetarian Friendly, Vegan Options",Cafe,"Prince Humud Street, Al Khobar Saudi Arabia",35,+ Add hours,7 of 47 Cafe in Al Khobar,Vicoli Lounge,4.0 ,4.0
77,6504,King Abdul Aziz Street Between Al Hugaet Tower and Sabb Bank,Eastern_Province,"Indian, Vegetarian Friendly, Vegan Options",Indian,"6504,King Abdul Aziz Street Between Al Hugaet Tower and Sabb Bank, Al Khobar 31952 Saudi Arabia",105,Closed Now:See all hours,3 of 31 Indian in Al Khobar,Queen Of India,3.5 ,3.5
78,Prince Faisal Bin Fahad Street, Al Khobar 34436 Saudi Arabia,Eastern_Province,"International, Mediterranean, Turkish",International,"Prince Faisal Bin Fahad Street, Al Khobar 34436 Saudi Arabia",81,Closed Now:See all hours,12 of 29 International in Al Khobar,Big Chefs,4.0 ,4.0
79,1st Street near Al Rahmaniya Center, Al Khobar 34429 Saudi Arabia,Eastern_Province,"Asian, Thai, Vegetarian Friendly",Asian,"1st Street near Al Rahmaniya Center, Al Khobar 34429 Saudi Arabia",54,+ Add hours,11 of 43 Asian in Al Khobar,Phuket Restaurant,4.0 ,4.0
80,Bin bassam al andalusi street Al Bandarya area, Al Khobar 31952 Saudi Arabia,Eastern_Province,"International, Vegetarian Friendly, Vegan Options",International,"Bin bassam al andalusi street Al Bandarya area, Al Khobar 31952 Saudi Arabia",37,+ Add hours,13 of 29 International in Al Khobar,Twist Restaurant,4.5 ,4.5
81,Abu Bakr Alsiddiq St Khwarizmi Road, Dammam Saudi Arabia,Eastern_Province,"Fast Food, Middle Eastern, Vegan Options",Fast Food,"Abu Bakr Alsiddiq St Khwarizmi Road, Dammam Saudi Arabia",32,+ Add hours,3 of 11 Fast Food in Dammam,Vitamin Palace,4.0 ,4.0
82,King AbdulAziz street, Al Khobar Saudi Arabia,Eastern_Province,"Seafood, Asian, Halal",Seafood,"King AbdulAziz street, Al Khobar Saudi Arabia",55,+ Add hours,7 of 20 Seafood in Al Khobar,Banoosh Restaurant,4.0 ,4.0
83,Dhahran Main Road Jarir Plaza, Dhahran Saudi Arabia,Eastern_Province,"American, Vegetarian Friendly",American,"Dhahran Main Road Jarir Plaza, Dhahran Saudi Arabia",85,+ Add hours,2 of 9 American in Dhahran,Applebee's Dhahran,3.5 ,3.5
84,8593-32242-3513 18th Street, Dammam Saudi Arabia,Eastern_Province,"Indian, Asian, Vegetarian Friendly",Indian,"8593-32242-3513 18th Street, Dammam Saudi Arabia",49,+ Add hours,15 of 103 Restaurants in Dammam,Paragon Restaurant,4.0 ,4.0
85,Mashoor Street, Al Jubail 35513 Saudi Arabia,Eastern_Province,"Indian, Asian, Diner",Indian,"Mashoor Street, Al Jubail 35513 Saudi Arabia",42,Closed Now:See all hours,3 of 14 Indian in Al Jubail,Grand Dunes Indo-Arab Family Restaurant,4.5 ,4.5
86,10th Street, Dammam Saudi Arabia,Eastern_Province,"Chinese, Indian, Asian",Asian,"10th Street, Dammam Saudi Arabia",57,+ Add hours,3 of 8 Chinese in Dammam,Ghazi resturant,4.0 ,4.0
87,Prince Faisal Street, Al Khobar Saudi Arabia,Eastern_Province,"Indian, Asian, Vegetarian Friendly",Indian,"Prince Faisal Street, Al Khobar Saudi Arabia",174,+ Add hours,4 of 31 Indian in Al Khobar,Copper Chandni,3.5 ,3.5
88,Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt, Al Khobar 34439 Saudi Arabia,Eastern_Province,Barbecue,BBQ,"Prince Faisal Bin Fahad St Opposite to Parkers Resturaunt, Al Khobar 34439 Saudi Arabia",23,+ Add hours,7 of 21 Barbecue in Al Khobar,Oak Smokehouse,4.5 ,4.5
89,Al Khalij Rd, Al Hofuf,Eastern_Province,"Indian, Asian, Arabic",Indian,"Al Khalij Rd, Al Hofuf, Al Ahsa 36362 Saudi Arabia",40,Closed Now:See all hours,1 of 1 Indian in Al Hofuf,Bharat Indian Kitchen,4.0 ,4.0
90,22nd Street, Al Khobar Saudi Arabia,Eastern_Province,"Italian, Pizza, Fast Food",Italian,"22nd Street, Al Khobar Saudi Arabia",22,+ Add hours,7 of 31 Italian in Al Khobar,Rolando's Pizzeria,4.5 ,4.5
91,Dhahran Boulevard, Al Khobar Saudi Arabia,Eastern_Province,"Indian, Asian",Indian,"Dhahran Boulevard, Al Khobar Saudi Arabia",49,+ Add hours,5 of 31 Indian in Al Khobar,Tandoori Restaurant,4.0 ,4.0
92,Across the street from the Corniche, Al Khobar Saudi Arabia,Eastern_Province,"Middle Eastern, Fast Food, Halal",Arabic,"Across the street from the Corniche, Al Khobar Saudi Arabia",40,+ Add hours,7 of 27 Fast Food in Al Khobar,Shrinpy's,4.0 ,4.0
93,6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia,Eastern_Province,"Seafood, Lebanese, Mediterranean",Seafood,"6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia",43,Closed Now:See all hours,2 of 13 Lebanese in Al Khobar,Al Yacht Restaurant,4.0 ,4.0
94,Prince Turkey Street, Al Khobar Saudi Arabia,Eastern_Province,"Turkish, Middle Eastern, Mediterranean",European,"Prince Turkey Street, Al Khobar Saudi Arabia",40,+ Add hours,9 of 30 Mediterranean in Al Khobar,"Kosebasi, Al Khobar",4.0 ,4.0
95,Prince Faisal Bin Fahd Road Amwaj Mall, Al Khobar 34436 Saudi Arabia,Eastern_Province,"American, Pizza, Fast Food",American,"Prince Faisal Bin Fahd Road Amwaj Mall, Al Khobar 34436 Saudi Arabia",40,+ Add hours,11 of 40 American in Al Khobar,Papa John's,4.0 ,4.0
96,Mall of Dhahran Blvd Dhahran Mall, Dhahran Saudi Arabia,Eastern_Province,Cafe,Cafe,"Mall of Dhahran Blvd Dhahran Mall, Dhahran Saudi Arabia",19,+ Add hours,1 of 1 Coffee & Tea in Dhahran,Caffe Bene,4.5 ,4.5
