,address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,restaurant_name,review_score,review_scores
853,Azizia, Jeddah Saudi Arabia,Jeddah,"ndian, Middle Eastern, Pakistani",Arabic,"Azizia, Jeddah Saudi Arabia",4,+ Add hours,28 of 42 Indian in Jeddah,Fine Grill Restaurant,4.0 ,4.0
854,Tahliah Street, Jeddah Saudi Arabia,Jeddah,Arabic,Arabic,"Tahliah Street, Jeddah Saudi Arabia",4,+ Add hours,26 of 51 Arabic in Jeddah,Sheikha Al-Matbakh,4.0 ,4.0
855,Qasim Zinah, Jeddah Saudi Arabia,Jeddah,"nternational, Asian, Indonesian",Asian,"Qasim Zinah, Jeddah Saudi Arabia",2,+ Add hours,35 of 47 International in Jeddah,Choubidou,5.0 ,5.0
856,Sari Street, Jeddah Saudi Arabia,Jeddah,Arabic,Arabic,"Sari Street, Jeddah Saudi Arabia",4,+ Add hours,27 of 51 Arabic in Jeddah,Al Baidar Restaurant,4.0 ,4.0
857,Al Sahafa Street, Beside Dauha Ul Uloom International School Aziziyah,Jeddah,"Indian, Middle Eastern, Pakistani",Indian,"Al Sahafa Street, Beside Dauha Ul Uloom International School Aziziyah, Jeddah 23342 Saudi Arabia",2,+ Add hours,29 of 42 Indian in Jeddah,Snow Dip N Roll,5.0 ,5.0
858,Corniche Street, Jeddah Saudi Arabia,Jeddah,"Lebanese, Mediterranean, Middle Eastern",Arabic,"Corniche Street, Jeddah Saudi Arabia",9,+ Add hours,33 of 46 Lebanese in Jeddah,Falafel Boutique,4.0 ,4.0
859,Al Kayyal, Ar Rawdah23433,Jeddah,Healthy,Healthy,"Al Kayyal, Ar Rawdah23433, Jeddah Saudi Arabia",2,+ Add hours,4 of 8 Healthy in Jeddah,Sinless,4.5 ,4.5
860,3103 Palestine Street Mushrifah, Jeddah 23218 Saudi Arabia,Jeddah,"editerranean, Egyptian",Arabic,"3103 Palestine Street Mushrifah, Jeddah 23218 Saudi Arabia",3,Open Now:See all hours,63 of 84 Mediterranean in Jeddah,Koshary Abu Tarek,4.0 ,4.0
861,Alrawdah St. Alkhaldiya Dist., Jeddah 21453 Saudi Arabia,Jeddah,"American, Fast Food",American,"Alrawdah St. Alkhaldiya Dist., Jeddah 21453 Saudi Arabia",19,+ Add hours,51 of 79 American in Jeddah,Wing Zone,3.5 ,3.5
862,Al Salameh District. , Saqar Quraish Street,Jeddah,"Italian, Lebanese, Mediterranean",Bakery,"Al Salameh District. , Saqar Quraish Street, Jeddah Saudi Arabia",6,+ Add hours,31 of 43 Italian in Jeddah,La Luna Bakery,3.5 ,3.5
863,3813 Sari, Al Khalidiyah District,Jeddah,"Turkish, Middle Eastern",European,"3813 Sari, Al Khalidiyah District, Jeddah Saudi Arabia",22,+ Add hours,22 of 29 Turkish in Jeddah,Modo,3.5 ,3.5
864,Batterjee Street, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"Batterjee Street, Jeddah Saudi Arabia",2,+ Add hours,35 of 55 Cafe in Jeddah,Sara Ladies Cafe,4.5 ,4.5
865,Palasteen-Walk-Street, Jeddah Saudi Arabia,Jeddah,Shawarma,Arabic,"Palasteen-Walk-Street, Jeddah Saudi Arabia",11,+ Add hours,68 of 82 Middle Eastern in Jeddah,Shawermatac,3.5 ,3.5
866,Malik Road Red Sea Mall, Jeddah Saudi Arabia,Jeddah,Turkish,European,"Malik Road Red Sea Mall, Jeddah Saudi Arabia",3,+ Add hours,23 of 29 Turkish in Jeddah,Saray Latif Red Sea Mall,4.0 ,4.0
867,Safia Bint Abdulmutalib St, Jeddah Saudi Arabia,Jeddah,"Asian, Indonesian, Malaysian",Asian,"Safia Bint Abdulmutalib St, Jeddah Saudi Arabia",3,+ Add hours,55 of 65 Asian in Jeddah,Satay Asia,4.0 ,4.0
868,Prince Sultan Rd,Prince Sultan Rd,Jeddah,American,American,"Prince Sultan Rd,, Jeddah Saudi Arabia",11,+ Add hours,52 of 79 American in Jeddah,Swisshouse,3.5 ,3.5
869,8322 King Abdul Aziz Rd, Ash Shati,Jeddah,"American, Fast Food, International",American,"8322 King Abdul Aziz Rd, Ash Shati, Jeddah 23414 3683, Jeddah 23414 Saudi Arabia",2,Closed today:See all hours,53 of 79 American in Jeddah,The Smokehouse,4.5 ,4.5
870,Balath, Jeddah Saudi Arabia,Jeddah,American,American,"Balath, Jeddah Saudi Arabia",12,+ Add hours,54 of 79 American in Jeddah,kfc,3.0 ,3.0
871,3048 Palestine Rd Al Hamra West Palestine Rd, Jeddah 23212 Saudi Arabia,Jeddah,"French, Steakhouse, Diner",European,"3048 Palestine Rd Al Hamra West Palestine Rd, Jeddah 23212 Saudi Arabia",12,Open Now:See all hours,14 of 19 French in Jeddah,Relais de Paris Entrecote Jeddah,3.5 ,3.5
872,Ice Land, Prince Sultan Street Al-Shallal Theme Park Branch,Jeddah,Italian,Italian,"Ice Land, Prince Sultan Street Al-Shallal Theme Park Branch, Jeddah 21465 Saudi Arabia",10,Open Now:4:00 PM - 12:00 PM,32 of 43 Italian in Jeddah,Freshi Ice Sticks,4.0 ,4.0
873,Khalid Bin Waled Street, Sharafiyah Khalid Commercial Center,Jeddah,"Asian, Indonesian",Asian,"Khalid Bin Waled Street, Sharafiyah Khalid Commercial Center, Jeddah 52000 Saudi Arabia",11,Open Now:See all hours,56 of 65 Asian in Jeddah,Batavia Restaurant,4.0 ,4.0
874,King Abdul Aziz Road Red Sea Mall, Jeddah Saudi Arabia,Jeddah,"talian, European",European,"King Abdul Aziz Road Red Sea Mall, Jeddah Saudi Arabia",8,+ Add hours,33 of 43 Italian in Jeddah,Filicori Zecchini,3.5 ,3.5
875,Safa street , Al Nahdah Near the AGS Boys school,Jeddah,"Chinese, Japanese, Filipino",Asian,"Safa street , Al Nahdah Near the AGS Boys school, Jeddah 00966 Saudi Arabia",2,Open Now:See all hours,24 of 29 Chinese in Jeddah,Oriental Garden Restaurant,4.5 ,4.5
876,Wahib Bin Umair, Jeddah Saudi Arabia,Jeddah,American,American,"Wahib Bin Umair, Jeddah Saudi Arabia",2,+ Add hours,55 of 79 American in Jeddah,Bites,4.5 ,4.5
877,Ameer Majid Road ,Al-Aziziyah,Jeddah,"Asian, Pakistani, Indian",Asian,"Ameer Majid Road ,Al-Aziziyah, Jeddah Saudi Arabia",30,+ Add hours,30 of 42 Indian in Jeddah,Kababish,3.0 ,3.0
878,Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab, Al Baghdediah Al Sharqiyah,Jeddah,"Chinese, Indian",Asian,"Khalid Bin Al-Waleed Street Muhammed Ibn Abdul Wahab, Al Baghdediah Al Sharqiyah, Jeddah 22235 Saudi Arabia",4,+ Add hours,25 of 29 Chinese in Jeddah,Sapphire Family Restaurant,4.0 ,4.0
879,Sultana Center, Opposite Danube Tahlia,Jeddah,Middle Eastern,Arabic,"Sultana Center, Opposite Danube Tahlia, Jeddah 23326 Saudi Arabia",2,Closed Now:4:30 AM - 12:30 AM,69 of 82 Middle Eastern in Jeddah,Tahina And Falafel,4.5 ,4.5
880,N21 34. 335' E039 09. 562' facing Rifaat supermarket, Jeddah Saudi Arabia,Jeddah,"Fast Food, Lebanese, Mediterranean",Fast Food,"N21 34. 335' E039 09. 562' facing Rifaat supermarket, Jeddah Saudi Arabia",7,Open Now:See all hours,35 of 46 Lebanese in Jeddah,Tawook Basha,4.5 ,4.5
881,King Abdulaziz Branch Road Le Prestige Mall, Jeddah 23414 Saudi Arabia,Jeddah,Cafe,Cafe,"King Abdulaziz Branch Road Le Prestige Mall, Jeddah 23414 Saudi Arabia",9,+ Add hours,11 of 12 Coffee & Tea in Jeddah,Urth Caffe,3.5 ,3.5
882,Intersection King Abdullah With Khaled Bin Waled, Jeddah Saudi Arabia,Jeddah,American,American,"Intersection King Abdullah With Khaled Bin Waled, Jeddah Saudi Arabia",5,+ Add hours,56 of 79 American in Jeddah,Mcdonald,3.5 ,3.5
883,9272 Al Madinah Al Munawarah Rd, Jeddah 21391 Saudi Arabia,Jeddah,"ebanese, Seafood, Mediterranean, Barbecue",Seafood,"9272 Al Madinah Al Munawarah Rd, Jeddah 21391 Saudi Arabia",3,+ Add hours,36 of 46 Lebanese in Jeddah,Mais Alreem,4.0 ,4.0
884,Movenpick Al Nawras Resort, Jeddah 21424 Saudi Arabia,Jeddah,Arabic,Arabic,"Movenpick Al Nawras Resort, Jeddah 21424 Saudi Arabia",7,+ Add hours,30 of 51 Arabic in Jeddah,Al Wadaa Restaurant,3.5 ,3.5
885,7100 Prince Abdullah AlFiasal St, Jeddah Saudi Arabia,Jeddah,Shawarma,Arabic,"7100 Prince Abdullah AlFiasal St, Jeddah Saudi Arabia",7,+ Add hours,37 of 46 Lebanese in Jeddah,Shawermashy,3.5 ,3.5
886,Prince Majid Rd, Al Marwah,Jeddah,"American, Fast Food, European",American,"Prince Majid Rd, Al Marwah, Jeddah Al Marwah Plaza, Jeddah 23451 Saudi Arabia",1,+ Add hours,57 of 79 American in Jeddah,X Bite,5.0 ,5.0
887,Tahlia Street Rawda, Jeddah Saudi Arabia,Jeddah,"French, Cafe",European,"Tahlia Street Rawda, Jeddah Saudi Arabia",14,Open Now:7:00 AM - 2:00 AM,15 of 19 French in Jeddah,Bert's,3.5 ,3.5
888,Prince Mohammed Bin Abdulaziz St Al Andalus, Jeddah 23322 Saudi Arabia,Jeddah,"frican, Mediterranean, Barbecue, Middle Eastern",Mediterranean,"Prince Mohammed Bin Abdulaziz St Al Andalus, Jeddah 23322 Saudi Arabia",1,+ Add hours,2 of 2 African in Jeddah,Al Dawar Al Masri,5.0 ,5.0
889,Al-Nuzhah Located In Mall Of Arabia, Al-madinah Almunawara Road,Jeddah,"afe, Turkish",European,"Al-Nuzhah Located In Mall Of Arabia, Al-madinah Almunawara Road, Jeddah 23532 Saudi Arabia",2,+ Add hours,38 of 55 Cafe in Jeddah,Kahve Dunyasi,4.0 ,4.0
890,3800 al Amir Sultan al Khalidiyah District, Jeddah 23423 Saudi Arabia,Jeddah,Greek,Cafe,"3800 al Amir Sultan al Khalidiyah District, Jeddah 23423 Saudi Arabia",1,+ Add hours,5 of 6 Greek in Jeddah,Mikel Coffee,5.0 ,5.0
891,King Abdullah Branch rd, Jeddah 22231 Saudi Arabia,Jeddah,Arabic,Arabic,"King Abdullah Branch rd, Jeddah 22231 Saudi Arabia",1,+ Add hours,33 of 51 Arabic in Jeddah,Tamees,5.0 ,5.0
892,Al Kurnaysh Rd Ash Shati, Jeddah 23415 Saudi Arabia,Jeddah,"talian, American, Cafe, International",American,"Al Kurnaysh Rd Ash Shati, Jeddah 23415 Saudi Arabia",1,Open Now:See all hours,35 of 43 Italian in Jeddah,Zillion Restaurant & Lounge,5.0 ,5.0
893,Sari street, Jeddah 23436 Saudi Arabia,Jeddah,"International, Mediterranean",International,"Sari street, Jeddah 23436 Saudi Arabia",1,+ Add hours,38 of 47 International in Jeddah,H Lounge,5.0 ,5.0
894,Near Dr. Baksh hospital Behind Abu Zaid, Thawba street,Jeddah,Indian,Indian,"Near Dr. Baksh hospital Behind Abu Zaid, Thawba street, sharaffiyah, Jeddah Saudi Arabia",1,Open Now:11:30 AM - 11:45 PM,32 of 42 Indian in Jeddah,Koyikodan Restaurant,5.0 ,5.0
895,Prince Sulttan Street, Jeddah Saudi Arabia,Jeddah,"International, Diner, Dining bars",International,"Prince Sulttan Street, Jeddah Saudi Arabia",1,+ Add hours,39 of 47 International in Jeddah,JouJou Lounge,5.0 ,5.0
896,King Abdullah Rd Abraj Al Hilal - Tower 3, Jeddah 2973 Saudi Arabia,Jeddah,"American, Arabic",American,"King Abdullah Rd Abraj Al Hilal - Tower 3, Jeddah 2973 Saudi Arabia",1,+ Add hours,59 of 79 American in Jeddah,Faris Breakfast,5.0 ,5.0
897,Al Jawad Street, Al-Manar Al Yasmin Mall,Jeddah,"French, International, European",Bakery,"Al Jawad Street, Al-Manar Al Yasmin Mall, Jeddah 23462 Saudi Arabia",1,+ Add hours,16 of 19 French in Jeddah,PAUL Bakery & Restaurant,5.0 ,5.0
898,Sari Street, Jeddah Saudi Arabia,Jeddah,American,American,"Sari Street, Jeddah Saudi Arabia",2,+ Add hours,60 of 79 American in Jeddah,Hwy,4.0 ,4.0
899,Hussein Shobokshi Street, Jeddah Saudi Arabia,Jeddah,"afe, Fast Food, Mediterranean, Grill",Fast Food,"Hussein Shobokshi Street, Jeddah Saudi Arabia",1,+ Add hours,40 of 55 Cafe in Jeddah,Moussallati Gourmet,5.0 ,5.0
900,Prince Sultan Road Alkhayat Center, Jeddah 23435 Saudi Arabia,Jeddah,"apanese, Japanese sweets parlour, Japanese Fusion",Asian,"Prince Sultan Road Alkhayat Center, Jeddah 23435 Saudi Arabia",1,+ Add hours,22 of 24 Japanese in Jeddah,Fuji Japanese Restaurant & Sushi,5.0 ,5.0
901,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,"Indian, Seafood, International",Indian,Jeddah Saudi Arabia,1,+ Add hours,33 of 42 Indian in Jeddah,Alnawras Seafood,5.0 ,5.0
902,AL Rawda, Qasim Zainah,Jeddah,"Indian, Middle Eastern, Arabic",Indian,"AL Rawda, Qasim Zainah, Jeddah 23414 Saudi Arabia",1,+ Add hours,34 of 42 Indian in Jeddah,Karak & Chapati,5.0 ,5.0
903,2900 Prince Mohammed Bin Abdulaziz St, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"2900 Prince Mohammed Bin Abdulaziz St, Jeddah Saudi Arabia",13,+ Add hours,41 of 55 Cafe in Jeddah,Fiori,3.0 ,3.0
904,The Galleria By Elaf Hotel, Jeddah Saudi Arabia,Jeddah,"rgentinean, South American",American,"The Galleria By Elaf Hotel, Jeddah Saudi Arabia",1,+ Add hours,2 of 2 Argentinean in Jeddah,Vaquero Restaurant,5.0 ,5.0
905,Al Amal, Jeddah 23621 Saudi Arabia,Jeddah,"arbecue, Arabic",Arabic,"Al Amal, Jeddah 23621 Saudi Arabia",1,+ Add hours,27 of 32 Barbecue in Jeddah,Hosny Restaurant,5.0 ,5.0
906,Prince Sultan Street, Jeddah Saudi Arabia,Jeddah,Seafood,Seafood,"Prince Sultan Street, Jeddah Saudi Arabia",1,+ Add hours,40 of 44 Seafood in Jeddah,Hook,5.0 ,5.0
907,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,"izza, Fast Food, Barbecue, Fusion",Fast Food,Jeddah Saudi Arabia,9,+ Add hours,21 of 29 Pizza in Jeddah,Hot n Spicy,3.5 ,3.5
908,3778 Hilmi Kutbi, Jeddah Saudi Arabia,Jeddah,"talian, American, Bar, Pizza",American,"3778 Hilmi Kutbi, Jeddah Saudi Arabia",3,+ Add hours,36 of 43 Italian in Jeddah,Burgerizza Studio,4.0 ,4.0
909,Al-shakireen, Jeddah 23453 Saudi Arabia,Jeddah,"Lebanese, Mediterranean, Grill",Arabic,"Al-shakireen, Jeddah 23453 Saudi Arabia",1,+ Add hours,38 of 46 Lebanese in Jeddah,Mabshoor alBait alShami,5.0 ,5.0
910,King Abdul Aziz Rd, Jeddah Saudi Arabia,Jeddah,Middle Eastern,Arabic,"King Abdul Aziz Rd, Jeddah Saudi Arabia",1,+ Add hours,74 of 82 Middle Eastern in Jeddah,Momentary Restaurant,5.0 ,5.0
911,Falastin st, Jeddah Saudi Arabia,Jeddah,Indian,Indian,"Falastin st, Jeddah Saudi Arabia",13,Open Now:7:00 PM - 12:00 AM,35 of 42 Indian in Jeddah,Maharaja,3.5 ,3.5
912,4359 Al Imam Al bukhari, Jeddah Saudi Arabia,Jeddah,"teakhouse, Cafe, Mediterranean, Soups",Cafe,"4359 Al Imam Al bukhari, Jeddah Saudi Arabia",1,Open Now:11:00 AM - 11:00 PM,19 of 21 Steakhouse in Jeddah,Ammar Resturant,5.0 ,5.0
913,Prince Sultan Road,Prince Sultan Road,Jeddah,Sushi,Asian,"Prince Sultan Road,, Jeddah Saudi Arabia",1,+ Add hours,22 of 23 Sushi in Jeddah,Ronin,5.0 ,5.0
914,jeddah, prince sultan road,Jeddah,"Lebanese, Mediterranean, Middle Eastern",Arabic,"jeddah, prince sultan road, Al zahra district Opposite of Salamah Center, Jeddah 21411 Saudi Arabia",4,+ Add hours,39 of 46 Lebanese in Jeddah,Byblos Xpress,3.5 ,3.5
915,Abdulmaksoud Khoja Street, Jeddah 21573 Saudi Arabia,Jeddah,"Lebanese, Mediterranean",Arabic,"Abdulmaksoud Khoja Street, Jeddah 21573 Saudi Arabia",4,Open Now:See all hours,40 of 46 Lebanese in Jeddah,Oasis,4.0 ,4.0
916,23621 Amna Bint Wahb Street Al Naeem District, Jeddah Saudi Arabia,Jeddah,"sian, Indonesian",Asian,"23621 Amna Bint Wahb Street Al Naeem District, Jeddah Saudi Arabia",3,+ Add hours,59 of 65 Asian in Jeddah,Surabaya Garden,3.5 ,3.5
